president,approval,timestamp
Trump,40.54905,1 Apr 2017
Trump,42.13772,1 Apr 2019
Trump,45.816466,1 Apr 2020
Biden,53.790376,1 Apr 2021
Trump,37.76429,1 Aug 2017
Trump,41.299,1 Aug 2018
Trump,42.47928,1 Aug 2019
Trump,38.00967,1 Dec 2017
Trump,42.44656,1 Dec 2018
Trump,41.742442,1 Dec 2019
Trump,44.147817,1 Dec 2020
Biden,42.349388,1 Dec 2021
Trump,39.77913,1 Feb 2018
Trump,39.50685,1 Feb 2019
Trump,43.406713,1 Feb 2020
Biden,53.986163000000005,1 Feb 2021
Trump,41.44894,1 Jan 2019
Trump,42.612555,1 Jan 2020
Trump,39.58723,1 Jul 2017
Trump,41.777074999999996,1 Jul 2018
Trump,42.18854,1 Jul 2019
Trump,40.539296,1 Jul 2020
Biden,52.014152,1 Jul 2021
Trump,39.11364,1 Jun 2017
Trump,41.61631,1 Jun 2018
Trump,42.924147,1 Jun 2020
Biden,53.60457325,1 Jun 2021
Trump,40.59626,1 Mar 2018
Trump,41.95808,1 Mar 2019
Biden,54.243369,1 Mar 2021
Trump,41.87309,1 May 2017
Trump,41.21312,1 May 2018
Trump,41.53664,1 May 2019
Trump,43.301039,1 May 2020
Biden,53.980431,1 May 2021
Trump,37.75723,1 Nov 2017
Trump,41.9981,1 Nov 2018
Trump,40.880157,1 Nov 2019
Trump,44.242519,1 Nov 2020
Biden,42.87445,1 Nov 2021
Trump,38.66099,1 Oct 2017
Trump,41.641670000000005,1 Oct 2018
Trump,41.47866,1 Oct 2019
Trump,43.829311,1 Oct 2020
Biden,44.972914,1 Oct 2021
Trump,37.3336,1 Sep 2017
Trump,43.314204,1 Sep 2020
Biden,46.652693,1 Sep 2021
Trump,40.87731,10 Apr 2017
Trump,40.60616,10 Apr 2018
Trump,41.85086,10 Apr 2019
Trump,44.367344,10 Apr 2020
Trump,36.93701,10 Aug 2017
Trump,41.9125,10 Aug 2018
Trump,42.11066,10 Aug 2019
Trump,41.41928733333334,10 Aug 2020
Biden,50.427115,10 Aug 2021
Trump,37.12042,10 Dec 2017
Trump,42.24026,10 Dec 2018
Trump,41.683886,10 Dec 2019
Trump,43.291357,10 Dec 2020
Biden,43.025095,10 Dec 2021
Trump,40.222245,10 Feb 2019
Trump,43.82327866666666,10 Feb 2020
Biden,54.289854,10 Feb 2021
Trump,39.22063,10 Jan 2018
Trump,40.99633,10 Jan 2019
Trump,41.788103,10 Jan 2020
Biden,42.951741999999996,10 Jan 2022
Trump,39.12117,10 Jul 2017
Trump,41.86861,10 Jul 2018
Trump,42.51568,10 Jul 2019
Trump,40.121716,10 Jul 2020
Trump,38.12778,10 Jun 2017
Trump,41.823935,10 Jun 2019
Trump,41.119616,10 Jun 2020
Biden,52.991645,10 Jun 2021
Trump,44.51029,10 Mar 2017
Trump,42.696669,10 Mar 2020
Biden,52.958772,10 Mar 2021
Trump,41.21492,10 May 2017
Trump,41.96571,10 May 2018
Trump,42.41541,10 May 2019
Biden,53.68839333333333,10 May 2021
Trump,37.85893,10 Nov 2017
Trump,41.3885655,10 Nov 2019
Trump,44.760631,10 Nov 2020
Biden,42.651123,10 Nov 2021
Trump,37.45793,10 Oct 2017
Trump,41.70533,10 Oct 2018
Trump,41.86902,10 Oct 2019
Trump,43.336496,10 Oct 2020
Biden,44.312427,10 Oct 2021
Trump,38.75933,10 Sep 2017
Trump,40.263605,10 Sep 2018
Trump,41.01595,10 Sep 2019
Trump,42.672291,10 Sep 2020
Biden,45.83798,10 Sep 2021
Trump,41.51326,11 Apr 2017
Trump,40.6097,11 Apr 2018
Trump,41.87629,11 Apr 2019
Trump,44.417322,11 Apr 2020
Trump,37.56736,11 Aug 2017
Trump,42.1351,11 Aug 2019
Trump,41.479006,11 Aug 2020
Biden,50.321962,11 Aug 2021
Trump,37.07095,11 Dec 2017
Trump,41.92131,11 Dec 2018
Trump,41.848714,11 Dec 2019
Trump,43.4962,11 Dec 2020
Trump,40.36388,11 Feb 2019
Trump,43.624559,11 Feb 2020
Biden,54.253095,11 Feb 2021
Trump,39.10347,11 Jan 2018
Trump,40.98552,11 Jan 2019
Trump,41.487718666666666,11 Jan 2021
Biden,43.037834,11 Jan 2022
Trump,39.24297,11 Jul 2017
Trump,41.96289,11 Jul 2018
Trump,42.39655,11 Jul 2019
Trump,38.09373,11 Jun 2017
Trump,41.565574999999995,11 Jun 2018
Trump,41.9846,11 Jun 2019
Trump,40.883788,11 Jun 2020
Biden,53.186096,11 Jun 2021
Trump,44.6835,11 Mar 2017
Trump,41.753045,11 Mar 2019
Trump,42.327323,11 Mar 2020
Biden,53.043988,11 Mar 2021
Trump,41.15792,11 May 2017
Trump,42.02566,11 May 2018
Trump,42.41223,11 May 2019
Trump,43.4695445,11 May 2020
Biden,54.020018,11 May 2021
Trump,37.91284,11 Nov 2017
Trump,41.388833,11 Nov 2019
Trump,44.999381,11 Nov 2020
Biden,42.538759,11 Nov 2021
Trump,37.7519,11 Oct 2017
Trump,41.82181,11 Oct 2018
Trump,42.12035,11 Oct 2019
Trump,43.593987,11 Oct 2020
Biden,44.585767,11 Oct 2021
Trump,38.71809,11 Sep 2017
Trump,39.99632,11 Sep 2018
Trump,41.48745,11 Sep 2019
Trump,42.511746,11 Sep 2020
Trump,41.64417,12 Apr 2017
Trump,40.63083,12 Apr 2018
Trump,42.12738,12 Apr 2019
Trump,44.412358,12 Apr 2020
Biden,53.59079066666666,12 Apr 2021
Trump,37.62228,12 Aug 2017
Trump,42.04562,12 Aug 2019
